Klatka,Biodro_X,Biodro_Y,Kolano_X,Kolano_Y,Kostka_X,Kostka_Y
0,301.2160339355469,783.6884765625,303.3973388671875,1088.8751220703125,348.9635925292969,1355.0128173828125
1,300.3289794921875,785.6444091796875,301.95391845703125,1088.205322265625,349.8072509765625,1353.480224609375
2,298.6630554199219,786.099853515625,301.1750183105469,1088.4107666015625,350.1344909667969,1352.5225830078125
3,299.458984375,788.0593872070312,300.97113037109375,1091.2794189453125,348.94024658203125,1355.399169921875
4,299.3437805175781,789.5250244140625,300.4992980957031,1092.56494140625,345.0909118652344,1354.7296142578125
5,298.236083984375,789.2760009765625,298.13031005859375,1092.4815673828125,345.1636047363281,1356.1029052734375
6,299.4171447753906,788.4688720703125,298.0235595703125,1092.107666015625,344.6018371582031,1356.9918212890625
7,299.4664306640625,787.41650390625,296.7980651855469,1090.872802734375,344.3698425292969,1356.6954345703125
8,297.214599609375,786.1615600585938,297.9645080566406,1090.8050537109375,349.2889099121094,1359.1116943359375
9,296.3458557128906,784.4222412109375,297.6788024902344,1090.673828125,350.5036926269531,1359.2991943359375
10,295.3554382324219,785.7376098632812,296.37469482421875,1090.963623046875,351.25701904296875,1359.310546875
11,295.8317565917969,785.0958862304688,296.4249572753906,1090.6124267578125,352.7423400878906,1360.1990966796875
12,296.8942565917969,786.128173828125,298.20465087890625,1091.75,355.4383850097656,1360.8922119140625
13,297.9513244628906,783.8038330078125,299.0343933105469,1091.60302734375,357.32623291015625,1361.062255859375
14,298.80413818359375,783.8471069335938,300.31365966796875,1091.6337890625,354.5351257324219,1360.6168212890625
15,300.0968017578125,785.0584716796875,300.7695007324219,1092.541015625,356.04833984375,1361.017578125
16,299.94708251953125,783.55810546875,299.5637512207031,1092.0047607421875,355.1781311035156,1359.9595947265625
17,303.7740478515625,785.50927734375,302.6229248046875,1093.408203125,357.14886474609375,1359.8594970703125
18,303.56768798828125,783.241943359375,303.0621032714844,1092.0838623046875,359.76141357421875,1358.783203125
19,302.6043395996094,783.6326293945312,303.910400390625,1091.884033203125,361.2016296386719,1358.611083984375
20,304.5276794433594,785.0714721679688,305.1807861328125,1091.8978271484375,363.55474853515625,1359.4073486328125
21,308.2387390136719,786.8329467773438,306.8615417480469,1093.433349609375,364.8122863769531,1361.36572265625
22,309.7838134765625,786.23828125,308.67828369140625,1093.7501220703125,366.6955261230469,1362.9276123046875
23,309.0005798339844,783.9730224609375,308.1056213378906,1091.890625,366.78607177734375,1361.157958984375
24,311.3263854980469,784.116943359375,311.09130859375,1091.7320556640625,367.5317687988281,1361.80029296875
25,313.7983703613281,786.5227661132812,312.6075134277344,1092.940185546875,367.0972595214844,1360.1416015625
26,313.8937072753906,785.2238159179688,313.5853271484375,1093.4093017578125,370.9611511230469,1361.117919921875
27,314.54461669921875,784.3143920898438,313.6874694824219,1092.4884033203125,373.40325927734375,1359.122802734375
28,315.6495666503906,784.7366333007812,313.8006896972656,1093.285400390625,370.71185302734375,1360.915771484375
29,314.961181640625,784.5797119140625,314.70928955078125,1093.32275390625,374.0378723144531,1362.2000732421875
30,314.24481201171875,784.6143188476562,314.58160400390625,1092.9259033203125,378.89044189453125,1363.169189453125
31,314.30035400390625,784.0863647460938,315.40142822265625,1093.400390625,380.2119140625,1363.043701171875
32,318.3689880371094,783.33935546875,318.26953125,1093.5511474609375,382.9837646484375,1365.780029296875
33,319.1368408203125,782.3587646484375,317.1090087890625,1092.76513671875,381.0426025390625,1363.8597412109375
34,321.3758239746094,781.0802001953125,317.9041442871094,1091.414794921875,379.51422119140625,1364.81591796875
35,323.46270751953125,779.8980102539062,318.8427734375,1091.251708984375,376.7022705078125,1366.3524169921875
36,324.1086730957031,780.346435546875,318.59161376953125,1090.0635986328125,381.5433044433594,1365.421142578125
37,325.1272888183594,782.0234985351562,319.2498779296875,1090.46337890625,380.527587890625,1365.50048828125
38,325.7327575683594,782.2172241210938,319.6698303222656,1090.7677001953125,382.3924255371094,1364.76123046875
39,325.33782958984375,782.2685546875,319.4333801269531,1091.1827392578125,379.80413818359375,1367.6419677734375
